"filename", "language", "Log", "Python", "JSON", "comment", "blank", "total"
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\concat.ipynb", "JSON", 0, 0, 199, 0, 1, 200
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\experiment1.ipynb", "JSON", 0, 0, 406, 0, 1, 407
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\experiment2.ipynb", "JSON", 0, 0, 367, 0, 1, 368
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\experiment3.ipynb", "JSON", 0, 0, 372, 0, 1, 373
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\log_seed_50.log", "Log", 74, 0, 0, 0, 1, 75
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\log_seed_51.log", "Log", 74, 0, 0, 0, 1, 75
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\log_seed_52.log", "Log", 74, 0, 0, 0, 1, 75
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\log_seed_53.log", "Log", 74, 0, 0, 0, 1, 75
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\before\single_node_(40,10,31,10,43,10)\plot.ipynb", "JSON", 0, 0, 245, 0, 1, 246
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\custom_Class\custom_earlystopping.py", "Python", 0, 44, 0, 3, 14, 61
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\functions\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\functions\model_basic.py", "Python", 0, 151, 0, 75, 77, 303
"c:\Users\keisu\Desktop\研究元ファイル\abnormal\research_abnormal\develop\search\search_skip\functions\model_function.py", "Python", 0, 270, 0, 77, 133, 480
"Total", "-", 296, 465, 1589, 155, 234, 2739